Ticker,Date,Open,High,Low,Close,Adj Close,Volume
^GSPC,2008-08-25,1290.469971,1290.469971,1264.869995,1266.839966,1266.839966,3420600000
GC=F,2008-08-25,819.7999878,819.7999878,819.7999878,819.7999878,819.7999878,44
CL=F,2008-08-25,114.6900024,116.0599976,113.6800003,115.1100006,115.1100006,174446
^NYA,2008-08-26,8228.849609,8285.580078,8213.240234,8263.719727,8263.719727,3587570000
^IXIC,2008-08-26,2364.310059,2377.040039,2345.790039,2361.969971,2361.969971,1256980000
^FTSE,2008-08-26,5505.600098,5505.600098,5369.299805,5470.700195,5470.700195,963908000
^NSEI,2008-08-26,4335.200195,4345.049805,4283.299805,4337.5,4337.5,0
^BSESN,2008-08-26,14338.26953,14495.26953,14286.37988,14482.21973,14482.21973,18800
^N225,2008-08-26,12711.03027,12801.20996,12656.08984,12778.70996,12778.70996,87100000
000001.SS,2008-08-26,2384.946045,2403.016113,2327.219971,2350.083984,2350.083984,41000
^N100,2008-08-26,756.460022,766.0200195,751.2199707,763.5700073,763.5700073,220364100
^DJI,2008-08-26,11383.55957,11436.24023,11340.41016,11412.87012,11412.87012,119800000
^GSPC,2008-08-26,1267.030029,1275.650024,1263.209961,1271.51001,1271.51001,3587570000
GC=F,2008-08-26,826,826,826,822.2000122,822.2000122,142
CL=F,2008-08-26,115.5,117.8899994,112.3600006,116.2699966,116.2699966,311866
^NYA,2008-08-27,8263.75,8363.469727,8263.75,8349.839844,8349.839844,3499610000
^IXIC,2008-08-27,2362.860107,2395.02002,2358.929932,2382.459961,2382.459961,1540700000
^FTSE,2008-08-27,5470.700195,5540.799805,5434.700195,5528.200195,5528.200195,879705700
^NSEI,2008-08-27,4336.850098,4364.25,4282.649902,4292.100098,4292.100098,0
^BSESN,2008-08-27,14563.09961,14563.09961,14261.69043,14296.79004,14296.79004,15600
^N225,2008-08-27,12734.38965,12783.62988,12681.98047,12752.95996,12752.95996,86900000
000001.SS,2008-08-27,2343.88208,2385.990967,2310.455078,2342.146973,2342.146973,41000
^N100,2008-08-27,763.2299805,767.4899902,754.7600098,765.2600098,765.2600098,235426400
^DJI,2008-08-27,11412.45996,11554.45996,11381.76953,11502.50977,11502.50977,120580000
^GSPC,2008-08-27,1271.290039,1285.050049,1270.030029,1281.660034,1281.660034,3499610000
GC=F,2008-08-27,830.2999878,830.2999878,825.2999878,828.0999756,828.0999756,423
CL=F,2008-08-27,116.0400009,119.6299973,115.6399994,118.1500015,118.1500015,265812
^NYA,2008-08-28,8349.839844,8466.120117,8349.839844,8466.120117,8466.120117,3854280000
^IXIC,2008-08-28,2390.110107,2412.840088,2388.550049,2411.639893,2411.639893,1582680000
^FTSE,2008-08-28,5528.100098,5634,5496.899902,5601.200195,5601.200195,1096926400
^NSEI,2008-08-28,4290.75,4304.5,4201.850098,4214,4214,0
^BSESN,2008-08-28,14289.96973,14347.19043,14002.42969,14048.33984,14048.33984,18800
^N225,2008-08-28,12827.71973,12847.45996,12718.53027,12768.25,12768.25,89700000
000001.SS,2008-08-28,2341.956055,2374.246094,2333.030029,2350.143066,2350.143066,34800
^N100,2008-08-28,763.9199829,781.3499756,759.5599976,778.6699829,778.6699829,320772900
^DJI,2008-08-28,11499.87012,11715.17969,11499.79004,11715.17969,11715.17969,149150000
^GSPC,2008-08-28,1283.790039,1300.680054,1283.790039,1300.680054,1300.680054,3854280000
GC=F,2008-08-28,828,842.5999756,824.5,830.9000244,830.9000244,503
CL=F,2008-08-28,118.1600037,120.5,114.0800018,115.5899963,115.5899963,272322
^NYA,2008-08-29,8466.070313,8466.070313,8380.589844,8382.080078,8382.080078,3288120000
^IXIC,2008-08-29,2388.669922,2393.48999,2360.909912,2367.52002,2367.52002,1559030000
^FTSE,2008-08-29,5601.200195,5649.100098,5587.399902,5636.600098,5636.600098,1109943000
^NSEI,2008-08-29,4230.600098,4368.799805,4230.600098,4360,4360,0
^BSESN,2008-08-29,14279.01953,14586.16016,14279.01953,14564.53027,14564.53027,32400
^N225,2008-08-29,12925.4502,13079.37012,12918.49023,13072.87012,13072.87012,120700000
000001.SS,2008-08-29,2361.045898,2420.8479,2352.099121,2397.368896,2397.368896,46400
^N100,2008-08-29,780.210022,786.4099731,777.8599854,782.8099976,782.8099976,308116400
^DJI,2008-08-29,11713.23047,11713.23047,11543.38965,11543.95996,11543.95996,166910000
^GSPC,2008-08-29,1296.48999,1297.589966,1282.73999,1282.829956,1282.829956,3288120000
GC=F,2008-08-29,831.7000122,833,831.7000122,829.2999878,829.2999878,116
CL=F,2008-08-29,115.75,118.7600021,115,115.4599991,115.4599991,216481
^FTSE,2008-09-01,5636.600098,5636.600098,5573.799805,5602.799805,5602.799805,590551600
^NSEI,2008-09-01,4356.100098,4365,4281.350098,4348.649902,4348.649902,0
^BSESN,2008-09-01,14412.99023,14547.41016,14281.09961,14498.50977,14498.50977,14800
^N225,2008-09-01,12936.80957,12940.5498,12834.17969,12834.17969,12834.17969,87500000
000001.SS,2008-09-01,2380.468018,2380.468018,2311.727051,2325.13501,2325.13501,36200
^N100,2008-09-01,777.25,784.1199951,774.6799927,781.5,781.5,181223200
^NYA,2008-09-02,8382.769531,8434.900391,8263.580078,8296.969727,8296.969727,4783560000
^IXIC,2008-09-02,2402.110107,2413.110107,2338.370117,2349.23999,2349.23999,2010580000
^FTSE,2008-09-02,5602.799805,5646.5,5574.899902,5620.700195,5620.700195,1346424400
^NSEI,2008-09-02,4358.850098,4522.399902,4343.100098,4504,4504,0
^BSESN,2008-09-02,14609.44043,15106.15039,14543.20996,15049.86035,15049.86035,25700
^N225,2008-09-02,12779.88965,12920.51953,12491.07031,12609.46973,12609.46973,126600000
000001.SS,2008-09-02,2312.102051,2329.009033,2284.919922,2304.891113,2304.891113,34200
^N100,2008-09-02,780.5999756,795.2800293,777.1300049,791.9400024,791.9400024,395580900
^DJI,2008-09-02,11545.62988,11790.16992,11471.90039,11516.91992,11516.91992,177090000
^GSPC,2008-09-02,1287.829956,1303.040039,1272.199951,1277.579956,1277.579956,4783560000
GC=F,2008-09-02,829.9000244,840.7000122,790.7999878,805,805,185
CL=F,2008-09-02,116.6500015,118.5999985,105.4599991,109.7099991,109.7099991,389706
^NYA,2008-09-03,8296.980469,8299.360352,8209.019531,8269.25,8269.25,5056980000
^IXIC,2008-09-03,2346.810059,2357.429932,2320.909912,2333.72998,2333.72998,2062140000
^FTSE,2008-09-03,5620.700195,5620.700195,5492.100098,5499.700195,5499.700195,1257405100
^N225,2008-09-03,12703.36035,12767.5,12647.29004,12689.58984,12689.58984,129300000
000001.SS,2008-09-03,2301.940918,2321.534912,2248.066895,2276.672119,2276.672119,42200
^N100,2008-09-03,784.4000244,786.8300171,777.1799927,777.1799927,777.1799927,276075700
^DJI,2008-09-03,11506.00977,11554.37988,11416.53027,11532.87988,11532.87988,174250000
^GSPC,2008-09-03,1276.609985,1280.599976,1265.589966,1274.97998,1274.97998,5056980000
GC=F,2008-09-03,805.5999756,805.5999756,791.5999756,802.7000122,802.7000122,28
CL=F,2008-09-03,110.2399979,110.3000031,107.2200012,109.3499985,109.3499985,247584
^NYA,2008-09-04,8269.209961,8269.209961,7991.939941,8008.25,8008.25,5212500000
^IXIC,2008-09-04,2315.179932,2317.320068,2259.040039,2259.040039,2259.040039,2332320000
^FTSE,2008-09-04,5499.700195,5541.700195,5362.100098,5362.100098,5362.100098,1422706900
^NSEI,2008-09-04,4512.950195,4514.600098,4419.450195,4447.75,4447.75,0
^BSESN,2008-09-04,14895.84961,14994.15039,14766.00977,14899.09961,14899.09961,19800
^N225,2008-09-04,12627.63965,12660.57031,12514.25977,12557.66016,12557.66016,145200000
000001.SS,2008-09-04,2270.523926,2295.35498,2249.120117,2277.410889,2277.410889,34200
